,Name,Distance,Mass,Radius,Gravity
45,2MASS J04455387-3048204 [de],42.0,1.27296e+32,695700000.0,17553.22633341273
46,2MASS J04510093-3402150 [de],69.0,2.0685600000000002e+30,50090400000.0,0.055023134243433
47,2MASS J05002100+0330501 [de],44.0,1.27296e+32,695700000.0,17553.22633341273
48,2MASS J05012406-0010452 [de],64.0,4.1769e+31,960066000.0,3024.392139598327
49,2MASS J05160945-0445499 [de],73.0,9.348300000000001e+31,674829000.0,13700.340725475582
50,2MASS J0523−1403,40.0,1.35252e+32,702657000.0,18282.81833080191
51,SDSS J053951.99-005902.0,41.62,1.21329e+32,702657000.0,16400.763502631125
52,LSR 0602+3910 [de],34.6,5.5692e+31,980937000.0,3862.751632648293
53,2MASS J06085283-2753583,102.0,7.5582e+31,1050507000.0,4570.952210632784
54,2MASS J06244595-4521548 [de],39.0,1.11384e+32,688743000.0,15670.924438053404
55,2MASS J06411840-4322329 [de],65.0,1.33263e+32,702657000.0,18013.95335534894
56,DENIS-P J0652197-253450 [de],51.0,1.49175e+32,730485000.0,18657.766085685304
57,2MASS J07075327-4900503,60.0,1.4320799999999998e+32,716571000.0,18613.799250720447
58,UGPS J072227.51-054031.2,13.4,5.1714e+31,681786000.0,7425.029360629866
59,2MASSI J0727182+171001 [de],29.6,8.154899999999999e+31,653958000.0,12726.387075421604
60,2MASS J07290002-3954043 [de],25.8,7.359299999999999e+31,653958000.0,11484.788336356083
61,SDSS J074201.41+205520.5 [de],49.0,8.5527e+31,653958000.0,13347.186444954366
62,DENIS-P J0751164-253043 [de],55.0,1.41219e+32,716571000.0,18355.27426112711
63,2MASS J07522390+1612157,60.0,3.997889999999999e+30,47307600000.0,0.1192216726932836
64,DENIS J081730.0-615520,16.1,8.7516e+31,653958000.0,13657.586129720748
65,2MASS J08251968+2115521 [de],35.0,1.03428e+32,681786000.0,14850.058721259731
66,SDSSp J083008.12+482847.4 [de],43.0,9.5472e+31,688743000.0,13432.220946902917
67,LHS 2021,55.0,1.75032e+32,800054999.9999999,18250.04628237619
68,SDSS J083048.80+012831.1 [de],77.0,9.1494e+31,667872000.0,13689.64998604644
69,2MASSI J0835425-081923 [de],23.53,1.23318e+32,695700000.0,17004.688010493584
70,2MASSI J0847287-153237 [de],43.0,1.27296e+32,695700000.0,17553.22633341273
71,2MASS J08533619-0329321,27.6,1.53153e+32,744399000.0,18445.912684415405
72,2MASSI J0859254-194926 [de],50.0,9.945e+31,681786000.0,14278.902616595897
73,2MASSI J0937347+293142,20.0,8.3538e+31,653958000.0,13036.786760187986
74,2MASS 0939−2448,17.4,6.3648e+31,660915000.0,9724.779132084615
75,2MASS J09490860-1545485 [de],59.0,9.7461e+31,667872000.0,14582.453246005993
76,2MASS J10073369-4555147,46.0,8.7516e+31,653958000.0,13657.586129720748
77,2MASSI J1010148-040649 [de],55.0,1.01439e+32,681786000.0,14564.480668927812
78,2MASS J10224821+5825453 [de],60.0,5.3703e+31,980937000.0,3724.796217196568
79,2MASSW J1036530-344138 [de],53.0,9.7461e+31,674829000.0,14283.333947836243
80,2MASS J1047538+212423 [de],34.4,8.3538e+31,653958000.0,13036.786760187986
81,DEN 1048-3956,13.15,1.53153e+32,744399000.0,18445.912684415405
82,Luhman 16B,6.516,8.5527e+31,709614000.0,11335.615093004306
83,Luhman 16A,6.516,7.956e+31,702657000.0,10754.59901811877
84,DENIS-P J1058.7−1548,49.0,1.27296e+32,695700000.0,17553.22633341273
85,TWA 28,180.0,7.160399999999999e+31,1662723000.0,1728.5568902058196
86,Cha 110913-773444,163.0,1.5912e+31,1252260000.0,677.2078060730221
87,SDSS J111010.01+011613.1,63.0,1.7900999999999998e+31,862668000.0,1605.3736037566111
88,2MASS J11145133−2618235,18.2,6.5637e+31,667872000.0,9820.835859555056
89,TWA 26,137.0,5.967e+31,1530540000.0000002,1700.0154635924
90,2MASS J11544223-3400390 [de],129.0,7.359299999999999e+31,1043550000.0,4510.203988446328
91,2MASSW J1155395-372735 [de],31.0,1.27296e+32,695700000.0,17553.22633341273
92,2MASS J12074836-3900043,217.0,3.3813e+31,1189647000.0,1594.5336154073927
